reference_entity_id,reference_entity_type,reference_label,reference_normalized_label,reference_expanded_terms,candidate_uri,candidate_label,candidate_uri_token,candidate_namespace,strategies,evidence_sources,matched_terms,strategy_count,evidence_source_count,average_evidence_weight,initial_score,levenshtein_label_similarity,token_jaccard_similarity,stemmed_jaccard_similarity,char_bigram_jaccard_similarity,prefix_similarity,uri_levenshtein_similarity,uri_token_jaccard_similarity,uri_stemmed_jaccard_similarity,uri_char_bigram_jaccard_similarity,uri_prefix_similarity,containment_similarity,exact_label_match,exact_uri_token_match,candidate_namespace_feature,is_dbpedia_ontology_class,is_dbpedia_resource,is_dbpedia_property,has_dbpedia_type,dbpedia_type_count,literal_property_count,object_property_count,infobox_property_count,total_property_count,log_total_property_count,average_property_frequency,log_average_property_frequency,discriminative_property_score,class_instance_count,class_instance_log_score,initial_score_numeric,lexical_score,structural_score,statistical_score,multisource_score,type_policy_score,final_alignment_score,has_real_dbpedia_evidence,has_controlled_direct_evidence,is_weak_constructed_candidate,rank
ref:Album,class,Album,album,album,http://dbpedia.org/ontology/Album,Album,Album,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,album,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Beverage,class,Beverage,beverage,beverage,http://dbpedia.org/ontology/Beverage,Beverage,Beverage,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,beverage,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Book,class,Book,book,book,http://dbpedia.org/ontology/Book,Book,Book,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,book,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Bordeaux,individual,Bordeaux,bordeaux,bordeaux,http://dbpedia.org/resource/Bordeaux,Bordeaux,Bordeaux,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,bordeaux,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,3,6,22,31,3.465736,312844.677419,12.653465,0.07903,0,0.0,1.0,1.0,0.835736,0.149867,0.952,1.0,0.942348,1,0,0,1
ref:CabernetSauvignon,individual,Cabernet Sauvignon,cabernet sauvignon,cabernet sauvignon|cabernet|sauvignon,http://dbpedia.org/resource/Cabernet_Sauvignon,Cabernet Sauvignon,Cabernet_Sauvignon,resource,exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels,cabernet sauvignon,4,2,1.075,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,1,2,11,14,2.70805,596504.071429,13.298843,0.075195,0,0.0,1.0,1.0,0.82153,0.127857,0.832,1.0,0.921434,1,0,0,1
ref:Camera,class,Camera,camera,camera|photographic camera|device,http://dbpedia.org/ontology/Camera,Camera,Camera,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,camera,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Canon,individual,Canon,canon,canon,http://dbpedia.org/resource/Canon,Canon,Canon,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_token,dbpedia_labels|dbpedia_resource_construction,canon,4,2,1.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.62,0.0,0.832,1.0,0.8042,1,0,0,1
ref:Chardonnay,individual,Chardonnay,chardonnay,chardonnay,http://dbpedia.org/resource/Chardonnay,Chardonnay,Chardonnay,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,chardonnay,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,1,1,12,14,2.70805,596532.571429,13.298891,0.075194,0,0.0,1.0,1.0,0.82153,0.127857,0.952,1.0,0.933434,1,0,0,1
ref:City,class,City,city,city,http://dbpedia.org/ontology/City,City,City,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,city,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Company,class,Company,company,company,http://dbpedia.org/ontology/Company,Company,Company,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,company,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:CountryClass,class,Country,country,country|nation|state,http://dbpedia.org/ontology/Country,Country,Country,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,country,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Device,class,Device,device,device,http://dbpedia.org/ontology/Device,Device,Device,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,device,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Film,class,Film,film,film,http://dbpedia.org/ontology/Film,Film,Film,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,film,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Food,class,Food,food,food|dish|cuisine|ingredient,http://dbpedia.org/ontology/Food,Food,Food,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,food,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:France,individual,France,france,france,http://dbpedia.org/resource/France,France,France,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,france,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,11,11,63,85,4.454347,104612.388235,11.558027,0.08652,0,0.0,1.0,1.0,0.854273,0.180575,0.952,1.0,0.954079,1,0,0,1
ref:Grape,class,Grape,grape,grape,http://dbpedia.org/ontology/Grape,Grape,Grape,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,grape,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Italy,individual,Italy,italy,italy,http://dbpedia.org/resource/Italy,Italy,Italy,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,italy,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,12,11,73,96,4.574711,117498.71875,11.674191,0.085659,0,0.0,1.0,1.0,0.85653,0.182895,0.952,1.0,0.955436,1,0,0,1
ref:London,individual,London,london,london,http://dbpedia.org/resource/London,London,London,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,london,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,11,9,63,83,4.430817,222320.951807,12.311882,0.081222,0,0.0,1.0,1.0,0.853832,0.175748,0.952,1.0,0.953595,1,0,0,1
ref:Merlot,individual,Merlot,merlot,merlot,http://dbpedia.org/resource/Merlot,Merlot,Merlot,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,merlot,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,1,1,11,13,2.639057,623289.307692,13.342768,0.074947,0,0.0,1.0,1.0,0.820236,0.125934,0.952,1.0,0.932627,1,0,0,1
ref:Museum,class,Museum,museum,museum,http://dbpedia.org/ontology/Museum,Museum,Museum,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,museum,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Nikon,individual,Nikon,nikon,nikon,http://dbpedia.org/resource/Nikon,Nikon,Nikon,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,nikon,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,4,4,10,18,2.944439,510048.611111,13.142263,0.07609,0,0.0,1.0,1.0,0.825962,0.134483,0.952,1.0,0.936203,1,0,0,1
ref:Paris,individual,Paris,paris,paris|pari,http://dbpedia.org/resource/Paris,Paris,Paris,resource,dbpedia_uri_construction|exact_label|expanded_label|resource_from_instance_types|resource_token,dbpedia_instance_types_resources|dbpedia_labels|dbpedia_resource_construction,paris,5,3,1.133333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,0.6,0,1,0,1,1,9,7,33,49,3.912023,381119.326531,12.85087,0.077816,0,0.0,1.0,1.0,0.844104,0.160053,0.952,1.0,0.94746,1,0,0,1
ref:Person,class,Person,person,person,http://dbpedia.org/ontology/Person,Person,Person,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,person,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Place,class,Place,place,place,http://dbpedia.org/ontology/Place,Place,Place,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,place,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:RegionClass,class,Region,region,region|area|location|place,http://dbpedia.org/ontology/Region,Region,Region,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,region,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Restaurant,class,Restaurant,restaurant,restaurant,http://dbpedia.org/ontology/Restaurant,Restaurant,Restaurant,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,restaurant,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:University,class,University,university,university,http://dbpedia.org/ontology/University,University,University,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,university,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Wine,class,Wine,wine,wine|wine region|alcoholic beverage|beverage,http://dbpedia.org/ontology/Wine,Wine,Wine,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,wine,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:WineRegion,class,WineRegion,wine region,wine region|wine|region|alcoholic beverage|beverage|area|location|place,http://dbpedia.org/ontology/WineRegion,WineRegion,WineRegion,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,wine region,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:Winery,class,Winery,winery,winery,http://dbpedia.org/ontology/Winery,Winery,Winery,ontology,dbpedia_uri_construction,dbpedia_ontology_class_construction,winery,1,1,1.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.82,0.4836,0.0,0.3536,1.0,0.50434,0,0,1,1
ref:author,property,author,author,author|writer|creator,http://dbpedia.org/ontology/creator,creator,creator,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,creator,3,3,1.22,0.9422,0.285714,0.0,0.0,0.1,0.0,0.285714,0.0,0.0,0.1,0.0,0.0,0,0,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.9422,0.085771,0.82,0.08,0.92844,1.0,0.87071,1,1,0,1
ref:birthPlace,property,birthPlace,birth place,birth place|birth|place,http://dbpedia.org/ontology/birthPlace,birthPlace,birthPlace,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,birth place,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:capital,property,capital,capital,capital,http://dbpedia.org/ontology/capital,capital,capital,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,capital,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:city,property,city,city,city,http://dbpedia.org/ontology/city,city,city,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,city,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:country,property,country,country,country|nation|state,http://dbpedia.org/ontology/country,country,country,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,country,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:creator,property,creator,creator,creator|cre|maker|manufacturer|producer|author,http://dbpedia.org/ontology/creator,creator,creator,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,creator,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.82,0.08,0.94,1.0,1.0,1,1,0,1
ref:currency,property,currency,currency,currency,http://dbpedia.org/ontology/currency,currency,currency,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,currency,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:deathPlace,property,deathPlace,death place,death place|death|place,http://dbpedia.org/ontology/deathPlace,deathPlace,deathPlace,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,death place,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:foundedBy,property,foundedBy,founded by,founded by|founded|found,http://dbpedia.org/ontology/foundedBy,foundedBy,foundedBy,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,founded by,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:genre,property,genre,genre,genre,http://dbpedia.org/ontology/genre,genre,genre,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,genre,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:ingredient,property,ingredient,ingredient,ingredient,http://dbpedia.org/ontology/ingredient,ingredient,ingredient,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,ingredient,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:language,property,language,language,language,http://dbpedia.org/ontology/language,language,language,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,language,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:locatedInArea,property,locatedInArea,located in area,located in area|located|area|locat|locat area|located area,http://dbpedia.org/ontology/locatedInArea,locatedInArea,locatedInArea,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,located in area,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:location,property,location,location,location|loc,http://dbpedia.org/ontology/location,location,location,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,location,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:manufacturer,property,manufacturer,manufacturer,manufacturer|maker|producer|creator,http://dbpedia.org/ontology/manufacturer,manufacturer,manufacturer,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,manufacturer,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.82,0.08,0.94,1.0,1.0,1,1,0,1
ref:owner,property,owner,owner,owner,http://dbpedia.org/ontology/owner,owner,owner,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,owner,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:populationTotal,property,populationTotal,population total,population total|population|total|popul|popul total,http://dbpedia.org/ontology/populationTotal,populationTotal,populationTotal,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,population total,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:producer,property,producer,producer,producer|maker|manufacturer|creator,http://dbpedia.org/ontology/producer,producer,producer,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,producer,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.82,0.08,0.94,1.0,1.0,1,1,0,1
ref:region,property,region,region,region|area|location|place,http://dbpedia.org/ontology/region,region,region,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,region,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
ref:type,property,type,type,type,http://dbpedia.org/ontology/type,type,type,ontology,dbpedia_uri_construction|property_frequency|property_token,dbpedia_ontology_property_construction|dbpedia_properties|dbpedia_property_frequency,type,3,3,1.22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1,1.0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,0.7,0.0,0.84,1.0,0.849,1,0,0,1
